name,path,url,starred
Z Transform.pdf,Notes/2021/Class Notes/,https://drive.google.com/file/d/1JNlAxQnLsUoyVe_DNSVP7dmxp6lnExGI/view?usp=drivesdk,0
Quantum II Notes.pdf,Notes/2021/Class Notes/,https://drive.google.com/file/d/1LTB-HFLbQGG0X9-N8s_40AAJh5-CQsM7/view?usp=drivesdk,0
Intro to High Energy Physics Notes - Reduced.pdf,Notes/2021/Class Notes/,https://drive.google.com/file/d/1B8xYB3Eeg4DLhM9nM-iHulyGr5FkuiVH/view?usp=drivesdk,0
Feynman Path Integrals Part 3 - Tunneling.pdf,Notes/2021/Quantum Field Theory/,https://drive.google.com/file/d/1XuyFgg2Q9MQxNbEHBVnKVEWG6g49MUFM/view?usp=drivesdk,1
Feynman Path Integral Part 2.pdf,Notes/2021/Quantum Field Theory/,https://drive.google.com/file/d/1m1lGDL8O8ICoORn3XdTjdcqMvt-r-tVV/view?usp=drivesdk,1
Feynman Path Integral Part 1.pdf,Notes/2021/Quantum Field Theory/,https://drive.google.com/file/d/1YMggpbxRTr0RVzBjlw6vjx7VXrcQxqbB/view?usp=drivesdk,1
5a - Quantum Statistical Mechanics.pdf,Notes/2021/Class Notes/Statistical Mechanics Notes/,https://drive.google.com/file/d/1HkKzkWzuwNgbXamc9cvmzsaM94EYesK9/view?usp=drivesdk,0
4 - Classical Statistical Mechanics Part 1.pdf,Notes/2021/Class Notes/Statistical Mechanics Notes/,https://drive.google.com/file/d/1EXOcM-_TIve0KMBPTCceBV7qqkTr8pIi/view?usp=drivesdk,0
index.md,Notes/2021/Class Notes/Statistical Mechanics Notes/,https://drive.google.com/file/d/1tfl2pLJz29GWhkpQEK3r3kz6PkH-89I0/view?usp=drivesdk,0
3 - Kinetic Theory of Gases Part 2.pdf,Notes/2021/Class Notes/Statistical Mechanics Notes/,https://drive.google.com/file/d/1CrAP23KH0rEVHZ0O4AVB2lji9mvwlGsf/view?usp=drivesdk,0
makeindex.py,Notes/2021/Class Notes/Statistical Mechanics Notes/,https://drive.google.com/file/d/1buDUN9DkjnlwE9uImMJFr3silBGF_V7F/view?usp=drivesdk,0
3 - Kinetic Theory of Gases Part 1.pdf,Notes/2021/Class Notes/Statistical Mechanics Notes/,https://drive.google.com/file/d/1u9r2EBs_wAp1DD0Y-PrJo0WHDdX1Tbl1/view?usp=drivesdk,0
2021-02-14-thermodynamics-problems.pdf,Notes/2021/Class Notes/Statistical Mechanics Notes/,https://drive.google.com/file/d/1StpEdc81HNmvsOzaCxVqBifydGGI67L_/view?usp=drivesdk,0
2021-01-25 Thermodynamics.pdf,Notes/2021/Class Notes/Statistical Mechanics Notes/,https://drive.google.com/file/d/1NNq6HMjmfNLJmt3IYxfyZ5z3VNgE7Anu/view?usp=drivesdk,0
index.md,Notes/2021/Class Notes/PHY 454 - Continuum Mechanics Notes/,https://drive.google.com/file/d/1NlBAUhuNdbi4Iua3g3gNCG6VhGgpk8r9/view?usp=drivesdk,0
5 - Coriolis II.pdf,Notes/2021/Class Notes/PHY 454 - Continuum Mechanics Notes/,https://drive.google.com/file/d/1_TYRj40CS3xxj5L35x8crSBeIWLOsEjd/view?usp=drivesdk,0
4 - Coriolis.pdf,Notes/2021/Class Notes/PHY 454 - Continuum Mechanics Notes/,https://drive.google.com/file/d/1Kt2piOJ6Q6wGni4a_C7LL7Hcb1D_s-qD/view?usp=drivesdk,0
1 - Kinematics Conservation Laws.pdf,Notes/2021/Class Notes/PHY 454 - Continuum Mechanics Notes/,https://drive.google.com/file/d/1H02wxfKcOSSiSZcJTMAAUzcWeowt3nYV/view?usp=drivesdk,0
3 - Vorticity and Kelvin's Theorem.pdf,Notes/2021/Class Notes/PHY 454 - Continuum Mechanics Notes/,https://drive.google.com/file/d/1y9NWEuHkJsx98cYVTRX93Mc2dYIzyfNA/view?usp=drivesdk,0
2 - Navier Stokes - Vorticity.pdf,Notes/2021/Class Notes/PHY 454 - Continuum Mechanics Notes/,https://drive.google.com/file/d/1v5y_grVvysu6l9PCUk8c1OoUTomBVH6u/view?usp=drivesdk,0
makeindex.py,Notes/2021/Class Notes/PHY 454 - Continuum Mechanics Notes/,https://drive.google.com/file/d/1GmPwZUHUEpr1n01XiJ4_2Lr1P6g0_kVg/view?usp=drivesdk,0
index.md,Notes/2021/Class Notes/PHY 491 - Interpretations of QM Notes/,https://drive.google.com/file/d/1Cq0pxRb4A_2cUCKjoRIlFkufPdsAMMKz/view?usp=drivesdk,0
7 - Bohmian Mechanics II.pdf,Notes/2021/Class Notes/PHY 491 - Interpretations of QM Notes/,https://drive.google.com/file/d/1v0271dWNlBZZ-obhbm5UUXo8C0p5he9p/view?usp=drivesdk,0
6 - Bohmian Mechanics.pdf,Notes/2021/Class Notes/PHY 491 - Interpretations of QM Notes/,https://drive.google.com/file/d/1bgxyvA-TG0FhT0MHPQxWc9ExT7DMcyCf/view?usp=drivesdk,0
4 - Operationalist QM (Book and Class).pdf,Notes/2021/Class Notes/PHY 491 - Interpretations of QM Notes/,https://drive.google.com/file/d/1K9hMp_5jeZ_EDS5vHgCkOHkSDcVzjVTq/view?usp=drivesdk,0
3 - Motility of the Cut (Class Notes).pdf,Notes/2021/Class Notes/PHY 491 - Interpretations of QM Notes/,https://drive.google.com/file/d/1v_zjDaBn04rv1SJUcJVxVshCNQVPaAcD/view?usp=drivesdk,0
2 - Textbook QM (Book Notes).pdf,Notes/2021/Class Notes/PHY 491 - Interpretations of QM Notes/,https://drive.google.com/file/d/1Rsdt3gTnfdg-QZ2SgIh9ue_epcV7-Pic/view?usp=drivesdk,0
1 - (Class Notes).pdf,Notes/2021/Class Notes/PHY 491 - Interpretations of QM Notes/,https://drive.google.com/file/d/1KndSh0koDr_Bnd1rK5CXApA7OlJp-wQR/view?usp=drivesdk,0
makeindex.py,Notes/2021/Class Notes/PHY 491 - Interpretations of QM Notes/,https://drive.google.com/file/d/1ctQLIFOJ8q2yGw_1zL_T2E7dYDfLZwOe/view?usp=drivesdk,0
links.txt,Notes/2020/,https://drive.google.com/file/d/12WlzU28R_pzUBLEdQapmZVViVGr3vOLL/view?usp=drivesdk,0
links.txt,Notes/2020/,https://drive.google.com/file/d/1qudTNiH9obyRhGB8nSxO9e740jR8EF2W/view?usp=drivesdk,0
2020-Quantum-II-notes-1-32.pdf,Notes/2020/,https://drive.google.com/file/d/1sT59OGud00M3IMdBRGRgODHi_gm7wkex/view?usp=drivesdk,0
